w,time_exponent,bo1_0,bz1_0,bz2_0,bo1_1,bz1_1,bz2_1,bt_1,thm_1,tm1_1,tm0_1,om1_1,om2_1,th_1,t1_1,o1_0,o2_0,z1_0,z2_0,z3_0,t1_0,t0_0,t0_1,o1_1,o2_1,z1_1,z2_1,z3_1,g1,g2,b1,b2,lmd
0.7,0.878,1.9122560270496283e-08,2.4964115570633323e-08,2.0167217739300474e-09,3.988648760151044e-09,1.2824232701626556e-08,8.25603365334473e-14,3.4602334798542856e-11,3.239509252579701e-16,2.033404483305178e-09,6.572122742920104e-08,5.7840823981677465e-08,7.401970235151347e-11,3.903671100170573e-12,1.6816323619320148e-11,0.0023311707135768,1.189917714320232e-06,0.0151965257499569,7.78173429682935e-05,2.4344932027950653e-13,3.7079997529798233e-05,0.0544538582617402,0.0003971537315781,1.3028451941909086e-05,7.642013475013909e-12,0.0048456190243459,3.99478312880769e-09,9.170887955134503e-12,0.8574722615588055,1.8297938872235667e-06,0.9718907201218876,0.9393721386518372,0.0527595633988322
0.72,0.8829,1.6916580400344918e-08,5.3627437380447904e-08,2.0880104207863883e-08,7.193944646655594e-10,3.579003417264082e-08,7.014174379018617e-11,1.2514594198577862e-09,1.0113715333455689e-11,4.712762527258167e-12,7.588763923673026e-08,6.216433646123002e-08,2.502064943240574e-11,7.2477412727945086e-12,7.455589564992606e-11,0.002985504214457,8.218031845630522e-07,0.0192959898879483,0.0001435212943346,3.604129608456827e-10,5.6546727560994094e-05,0.0533046993314079,0.0003994202367322,1.6558492550862757e-05,1.6593620817587135e-10,0.0060597723534371,1.2315031516034027e-09,2.3759264555067326e-10,0.8093445645269038,8.881145096408498e-07,0.9617146048851156,0.9661353474191088,0.0568837873018123
0.74,0.8865,3.3672633755491725e-07,7.39745347103319e-07,0.0,1.074644311263603e-09,5.226869409183198e-07,3.3584021206078867e-10,7.414137633657991e-09,5.195833844308396e-11,0.0,1.6341089918596826e-07,1.618706878152525e-07,0.0,4.805599036944315e-10,2.2458873569537563e-10,0.0036339392428691,1.8591564856838336e-06,0.0232311440520296,0.0002422131743321,1.6196408501625718e-10,8.664119788286324e-05,0.0524029931002445,0.0004356367874379,2.2684066943713297e-05,0.0,0.0071779773863505,0.0,4.7211690948400745e-12,0.7649167558416979,9.64870591386064e-06,0.9521827435003816,0.9494844902991644,0.0611308285479805
0.76,0.8886,6.480312922527192e-07,2.298396770261172e-06,5.799777098847308e-07,1.671696735990006e-08,6.282267621914581e-07,7.262153703416476e-09,4.889408557399899e-07,1.0000294649653668e-08,5.350822615602875e-09,2.01478033227618e-07,8.22416430990293e-08,9.931841278692461e-09,9.069123213085071e-07,2.2319131071624662e-10,0.0044682664731374,2.639435529494147e-06,0.0273152608490282,0.0003915695489532,2.6168833279631252e-08,0.0001055863999393,0.0512893825248872,0.0003584249210615,2.2729629920416463e-05,3.719371683943648e-08,0.008411616239835,4.250401200819375e-08,9.981983962327533e-09,0.7213882000681581,2.1983754822793763e-05,0.9436795768100624,0.9572868679371684,0.065678664245861
0.78,0.8891,1.4365767149630934e-06,9.838072360082071e-07,2.8190934624818567e-11,1.2100874624336615e-06,1.5601658191451716e-10,2.45446131450294e-12,4.2186409065004925e-11,2.812210240447297e-10,4.095754354214063e-09,1.187535808648538e-07,4.480203369610989e-07,6.158918674867719e-09,1.885047894157916e-08,5.846034832498051e-09,0.0048761129460085,6.778874670423735e-06,0.0304388440203501,0.0005729326378893,2.297872016477096e-09,0.0001793882444403,0.0510070667132108,0.0004902900754668,3.492869231117542e-05,8.115774172811454e-09,0.0091983067359994,2.4573793053918963e-08,9.25140645651443e-09,0.6866073127105571,7.713757474998804e-06,0.9357696658058988,0.9550837972780116,0.0701710226607121
0.8,0.888,1.661121513524048e-06,4.702636050071254e-06,1.258240995217235e-07,8.842128277478218e-09,2.6845873956145205e-06,1.871267384410298e-09,4.236733018461694e-09,2.3596424035059444e-12,8.365479976108444e-10,9.685463592837544e-08,1.0050087389740805e-07,1.1111820160942108e-10,1.1895429591003054e-08,2.5669853049744717e-09,0.005388110312121,1.0111180913680834e-05,0.0334207686644618,0.0008126998540657,4.2834726562938936e-10,0.0002696583955751,0.0505853273970481,0.0005678468055263,4.541145954057203e-05,1.9382646932917176e-09,0.0100194052604602,6.84169922768097e-10,2.773750652926011e-10,0.652953778972499,9.756344825821568e-05,0.9294109247715024,0.9323281011483278,0.0751427194636841
0.82,0.8852,1.3685622497505706e-14,1.1840554684876384e-11,2.2837496846174626e-15,4.415498215144231e-12,2.022644253656776e-14,1.1270456465779733e-15,3.005842679907949e-16,2.202780190462205e-12,1.9590978018877185e-11,2.6477049979431574e-08,3.727590208249092e-08,2.4095767859312568e-11,9.12665599234276e-12,3.1461321591977945e-11,0.005829258009497,1.6902907384990982e-05,0.0360732198346959,0.0011147565848345,8.041888100785087e-16,0.0003970127339124,0.0502023699391987,0.0006692809738409,5.953670232892301e-05,2.6503332248533745e-15,0.0107584351124417,2.3686219444144684e-11,2.856121584275873e-15,0.6211040221508308,9.899573876255303e-11,0.9238691848392228,0.9265664778900666,0.080426545774454
0.84,0.8805,1.8972870388815205e-07,1.579255333945002e-07,1.2205557501301049e-08,6.597305457594994e-09,4.7901663051764575e-08,2.4086500053163512e-11,3.503942413802101e-09,4.595126871402364e-12,1.0877024843259294e-11,5.34985760760754e-08,2.1590906140240788e-08,2.6285965432674828e-11,5.4035084601640866e-12,1.80313480216886e-11,0.0061582887707965,2.8178089778387094e-05,0.0382958625675886,0.0014797686114641,2.080415891521031e-08,0.0005950506752059,0.049805080480335,0.0008259656735326,8.037835846870282e-05,5.6479939953197125e-11,0.0113680872362816,5.2960497047147447e-11,6.101506200548423e-11,0.5906297342855498,5.413541562718844e-06,0.9194568531251848,0.92505942429569,0.0861806629757114
0.86,0.872,0.0064198679272005,0.0118333642544781,0.0006274320662997,2.022760498062584e-05,0.0107615862878722,2.897268576214064e-08,4.2110189711784654e-05,9.831337254029732e-11,7.072524870189776e-11,0.0007613507894067,6.136675868411173e-05,5.868952850696662e-11,3.013565674648631e-09,4.624997416194812e-11,0.0025675530879278,0.0001229822802786,0.0021090784974525,0.0014262724800178,4.483584927807672e-06,0.0005657053936057,0.0999695431229827,0.0509965980439141,0.0004971170523931,6.284458633145645e-11,0.0002808796571493,0.000175077930016,1.5522038062282142e-10,0.4974212516317216,0.2687784718186035,0.9999992512641588,0.91360379962606,0.0980483111122461
0.88,0.8586,0.0071310027473498,0.0111574133525073,0.0006880361704349,2.955072255438616e-05,0.0114219264603249,5.733760115752013e-08,6.049859598173987e-05,3.8350316961640964e-13,9.329448335606297e-13,0.0011374486478586,7.397295978592652e-05,0.0,1.819875848676705e-12,4.435081646677592e-13,0.0025429738894044,0.0001544783351004,0.0019053825271073,0.0021455149141223,6.370686913417524e-06,0.0005338790396352,0.1,0.051686556671743,0.00048649788851,4.30131590989769e-13,0.0002203686394807,0.0002643004689674,0.0,0.4791798380133375,0.2642426258936636,0.9999999999999946,0.911988286304624,0.1024611334203647
